,cashModel,noCashModel,portfolio,bmSPY,EW
AnnRet(%),10.5,11.899999999999999,12.8,7.5,7.6
AnnRisk(%),11.51266550301044,14.200388122408135,12.021159825841533,14.153453097847049,12.60929142319692
AnnSharpe,0.8728674004992666,0.8039843289930989,1.028742281095108,0.49885580810134617,0.5634444729778179
Avg_DD(%),2.415,3.461,2.291,4.859,4.074
MaxDD(%),18.277,40.678,18.662,46.412,42.534
WinRate(%),57.699999999999996,57.699999999999996,56.99999999999999,67.10000000000001,67.10000000000001
Gain_to_Loss,1.552,1.497,1.768,0.762,0.8
RoMDD,0.575,0.292,0.687,0.162,0.178
Sortino(5%),0.9834960411678514,0.9181802969396883,1.180748048638473,0.5464066990646578,0.6080844653717238
Sterling_Ratio(over MDD),0.575,0.292,0.687,0.162,0.178
beta,0.5899306638947437,0.80054087371386,0.6160750400486791,1.0000000000000004,0.8787087715631955
ann_alpha,5.761332419869181,5.710635297598476,7.826338464746363,0.0,0.7839874427820526
R_squared,0.5236541970825425,0.6353533289033011,0.5253757686624936,1.0,0.9718788065217165
p_value,0.0031008453333631024,0.006480592947721492,0.00014414544431538332,1.0,0.11943501042977704
tvalue,2.990655859703436,2.7486752014912,3.8687227454211377,0.0,1.563233353114954
info_ratio,0.07041908107344141,0.12793643718047543,0.13136394183684225,0.0,-0.017776258267086578
1YrReturns,35.407275037488105,36.602124690112745,31.84980470278631,31.486370986834423,26.08385870714325
1YrRisk,12.05684211880775,12.617994474965661,11.670078908569945,12.892413576301603,10.97908247334111
3YrReturns,15.900485264463594,18.686547000921074,16.58994953228483,15.271883258249996,11.40042362857956
3YrRisk,12.373762331075353,12.882317240891147,12.409717538585884,12.10255709775637,10.148403659854425
5YrReturns,13.592491546736252,15.832949471919843,14.157132326200884,11.696668923063559,9.57452459462662
5YrRisk,12.481399271620628,13.075736130590334,12.55052430980324,11.979313325319978,10.197103340608207
10YrReturns,12.761173391599767,14.745522834216306,14.797308654502928,13.559915182795601,11.691081056632457
10YrRisk,12.734277924708401,14.348971781826558,13.144074564454545,12.4554115431622,10.830921598160803
Total Return,1.977374279885418,2.273405534712334,2.3749264070278753,1.5324181567040593,1.5013195656548601
Best_Month,14.32868127634559,16.985422103041596,14.32868127634559,10.929205144008414,10.139625110102672
Worst_Month,-10.395237016540019,-18.18689202291037,-10.395237016540019,-16.795061887570913,-15.107695414408958
Best_Year,31.356626132708502,32.31156958566498,28.589485653319187,28.714546339208603,24.865717128725198
Worst_Year,-9.947945284249547,-26.652540050731776,-9.947945284249547,-43.15405147190423,-36.101488153646805
