Date,XLRE,XLB,XLI,XLY,XLP,XLE,XLF,XLU,XLV,XLK,XLC,BIL,SHY,SPY
2001-01-02,,13.78,20.9,20.13,17.95,21.96,12.18,16.56,19.52,23.14,,,,1785.86
2001-01-03,,13.86,21.8,21.72,17.13,21.29,12.83,16.21,21.06,26.87,,,,1875.56
2001-01-04,,14.32,21.98,22.02,16.45,20.63,12.61,15.96,21.68,27.14,,,,1855.82
2001-01-05,,14.02,21.35,21.3,16.56,21.07,12.34,15.8,21.09,25.5,,,,1807.13
2001-01-08,,14.07,21.17,21.01,16.67,21.0,12.22,16.04,20.79,25.42,,,,1804.04
2001-01-09,,13.49,21.24,20.84,16.85,20.58,12.01,16.11,21.05,25.99,,,,1810.98
2001-01-10,,13.61,21.43,20.98,16.75,20.71,12.21,16.07,21.21,26.77,,,,1828.5
2001-01-11,,13.25,21.7,21.16,16.42,20.94,12.24,15.7,21.69,27.9,,,,1847.37
2001-01-12,,12.94,21.63,21.15,16.4,20.8,12.0,15.82,21.98,27.48,,,,1835.54
2001-01-16,,13.37,21.84,21.64,16.63,20.79,12.22,15.56,22.21,27.16,,,,1847.13
2001-01-17,,13.3,21.8,21.35,16.44,20.69,12.24,15.6,22.38,28.0,,,,1851.16
2001-01-18,,13.22,21.95,21.03,16.57,20.3,12.06,15.88,22.31,29.47,,,,1876.94
2001-01-19,,12.86,21.72,20.19,16.44,20.2,11.97,15.83,21.76,29.87,,,,1869.38
2001-01-22,,12.96,21.67,20.95,16.54,20.42,12.18,15.8,21.61,29.32,,,,1869.89
2001-01-23,,13.0,21.96,21.2,16.65,20.74,12.3,15.79,22.11,29.81,,,,1894.25
2001-01-24,,13.05,21.84,21.22,16.59,20.72,12.38,15.81,21.9,30.18,,,,1899.71
2001-01-25,,13.22,21.83,21.56,16.94,21.34,12.49,15.92,21.86,29.12,,,,1890.27
2001-01-26,,13.09,21.47,21.32,16.77,20.98,12.54,15.77,21.64,29.32,,,,1886.8
2001-01-29,,13.05,21.56,21.74,16.63,20.81,12.55,16.02,22.0,29.94,,,,1899.75
2001-01-30,,13.54,21.91,21.81,16.82,20.98,12.66,16.02,21.95,30.01,,,,1913.13
